,,GRE词以类记,
7365,turmoil,"n.混乱,骚乱",张红岩：list053
7366,urgent,adj.迫切的，紧急的,张红岩：list053
7367,vague,adj.模糊的,张红岩：list053
7368,vicarious,"adj.间接的,代理的",张红岩：list053
7369,vogue,"n.时髦,时尚; adj.流行的",张红岩：list053
7370,want,n.缺乏，贫困，需要,张红岩：list053
7371,wearisome,adj.使人感到疲倦或厌倦的,张红岩：list053
7372,weary,adj.疲劳的，令人厌倦的；vi. vt.厌烦,张红岩：list053
7373,welter,"n. 混乱,杂乱无章",张红岩：list053
7374,bottleneck,n. 瓶颈口，(喻)交通易阻塞的狭口; 妨碍生产流程的一环,张红岩：list053
7375,buffer,vt. 缓冲，为…冲当缓冲器,张红岩：list053
7376,chic,adj. 漂亮的，时髦的,张红岩：list053
7377,depute,vt. 派...为代表或代理,张红岩：list053
7378,deputize,vt.代替某人行事或说话,张红岩：list053
7379,destitute,adj.贫乏的; 穷困的,张红岩：list053
7380,dishevel,vt. 使蓬乱，使头发凌乱,张红岩：list053
7381,disheveled,adj.(指毛发或衣服)凌乱的,张红岩：list053
7382,exiguous,"adj.太少的,不足的",张红岩：list053
7383,muddle,"n. 混乱, 迷惑",张红岩：list053
7384,necessitous,adj. 贫困的; 急需的,张红岩：list053
7385,oracular,adj. 神谕的;意义模糊的,张红岩：list053
7386,tousle,vt.弄乱(头发),张红岩：list053
7387,nicety,"n.准确,精确",张红岩：list053
7388,intercession,"n.求情；说情；调停, 斡旋",张红岩：list053
7389,mitigant,"adj.缓和的,减轻的",张红岩：list053
7390,scrimmage,"n.v.混战,并列争球",张红岩：list053
7391,litotes,"n.间接肯定法,反语法",张红岩：list053
7392,misadventure,n.运气不佳的遭遇,张红岩：list053
7393,mealymouthed,"adj.转弯抹角说的,不敢直说的",张红岩：list053
7394,tire,"v.(使)疲劳,对(做)某事感到厌倦,n.〈美〉轮胎",张红岩：list053
7395,lot,n.签；命运；vt.抽签，划分,张红岩：list054
7396,meet,v.遇见；相逢,张红岩：list054
7397,lot,adv.许多；许多,张红岩：list054
7398,medium,adj.中等的,张红岩：list054
7399,survive,vt.幸免于；从……中生还  vi.幸存,张红岩：list054
7400,scare,vt.恐吓  vi.受惊吓,张红岩：list054
7401,liquid,n.液体；液态物,张红岩：list054
7402,burial,n.葬礼；埋葬,张红岩：list054
7403,bend,vt.&vi.弯曲；专心于；屈服,张红岩：list054
7404,gravity,n.重力;引力;地心吸力,张红岩：list054
7405,obvious,adj.显然的;明显的,张红岩：list054
7406,threat,n.威胁;恐吓;构成威胁的人 (或事),张红岩：list054
7407,demand,vt.要求,张红岩：list054
7408,paradise,n.乐园；天堂,张红岩：list054
7409,patent,n.专利；专利权；专利证,张红岩：list054
7410,medium,adj.中等的,张红岩：list054
7411,striking,adj.引人注意的；吸引人的,张红岩：list054
7412,suspect,vt.怀疑;不相信,张红岩：list054
7413,suspect,n. 嫌疑犯;可疑对象,张红岩：list054
7414,roundabout,adj.拐弯抹角的;兜圈子的,张红岩：list054
7415,casual,adj.便服的;随便的,张红岩：list054
7416,flexible,adj.灵活的;有弹性的,张红岩：list054
7417,adventitious,adj. 偶然的,张红岩：list054
7418,adverse,"adj. 不利的,相反的; 敌对的",张红岩：list054
7419,advisable,"adj.适当的,可行的",张红岩：list054
7420,antithesis,n. 对立;相对,张红岩：list054
7421,apposite,"adj. 适当的,恰切的",张红岩：list054
7422,apropos,adj.  adv. 适宜的; 有关,张红岩：list054
7423,aptitude,n.适宜；才能，资质,张红岩：list054
7424,awry,"adj.扭曲的,走样的",张红岩：list054
7425,browbeat,vt. 欺侮; 吓唬,张红岩：list054
7426,burial,n.埋葬，埋藏,张红岩：list054
7427,casual,adj. 偶然的,张红岩：list054
7428,casualty,n.伤亡事故;伤亡者,张红岩：list054
7429,contingent,"adj. 意外的, 视情况条件而定的",张红岩：list054
7430,contort,vi. vt. (使)扭曲; 曲解,张红岩：list054
7431,crook,vi. vt. 使弯曲,张红岩：list054
7432,customary,adj. 合乎习俗的,张红岩：list054
7433,demystify,vt. 弄清楚,张红岩：list054
7434,detour,n.弯路; 绕行之路,张红岩：list054
7435,distinct,"adj. 清楚的,明显的",张红岩：list054
7436,distort,"vt. 扭曲,弄歪",张红岩：list054
7437,dodder,vt.蹒跚,张红岩：list054
7438,dour,"adj.严厉的,脸色阴沉的",张红岩：list054
7439,draconian,"adj.严厉的,严酷的",张红岩：list054
7440,episodic,"adj. 偶然发生的,分散性的",张红岩：list054
7441,execute,"vt. 执行,履行; 将某人处死",张红岩：list054
7442,explicit,adj.清楚明确的,张红岩：list054
7443,expressly,adv.清楚地; 特意地,张红岩：list054
7444,externalize,vt. 使...表面化,张红岩：list054
7445,felicitous,"adj.(话语等)适当的,得体的",张红岩：list054
7446,flexible,adj.易弯曲的; 灵活的,张红岩：list054
7447,gamble,vt.n.赌博；孤注一掷,张红岩：list054
7448,gratuitous,adj. 无缘无故的; 免费的,张红岩：list054
7449,gravity,"n. 严肃,正经",张红岩：list054
7450,grimace,"vt. 做鬼脸,面部歪扭",张红岩：list054
7451,guillotine,n. 断头台,张红岩：list054
7452,habituate,vt. 使习惯于,张红岩：list054
7453,haphazard,adj. 任意的,张红岩：list054
7454,harshly,"adv. 严酷地,无情地",张红岩：list054
7455,hazard,n. 危险,张红岩：list054
7456,hazardous,adj.危险的,张红岩：list054
7457,hover,vi. vt. 翱翔; (人)徘徊,张红岩：list054
7458,inanimate,adj. 无生命的,张红岩：list054
7459,incommensurate,"adj. 不成比例的,不相称的",张红岩：list054
7460,indecisive,adj.非决定性的，迟疑不决的,张红岩：list054
7461,inter,vt. 埋葬,张红岩：list054
7462,inured,adj. 习惯的,张红岩：list054
7463,inverse,adj. 相反的; 倒转的,张红岩：list054
7464,invert,"vt. 上下倒置,相反放置",张红岩：list054
7465,inveterate,adj. 积习已深的,张红岩：list054
7466,jeopardize,"vt. 危及,危害",张红岩：list054
7467,jeopardy,n. 危险,张红岩：list054
7468,limpid,"adj. 清澈的,透明的",张红岩：list054
7469,liquid,adj.清澈的,张红岩：list054
7470,lottery,"n. 彩票,抽彩给奖法",张红岩：list054
7471,manifest,adj. 明白的; vi. vt. 载货清单,张红岩：list054
7472,marked,adj.明显的；被监视的,张红岩：list054
7473,medium,n. 媒介; (细菌等)生存环境,张红岩：list054
7474,menace,"vt. n. 威胁,危险",张红岩：list054
7475,minatory,"adj. 威胁的,恫吓的",张红岩：list054
7476,misrepresent,"vt. 误传,歪曲",张红岩：list054
7477,mores,"n. 风俗习惯,道德观念",张红岩：list054
7478,mortality,n. 死亡率,张红岩：list054
7479,mortuary,"n. 停尸间,太平间",张红岩：list054
7480,notable,adj.明显的，出众的，重要的,张红岩：list054
7481,obituary,"n.讣闻,讣告",张红岩：list054
7482,obvious,"adj. 明显的,显而易见的",张红岩：list054
7483,opportune,"adj. 合适的,适当的",张红岩：list054
7484,oscillate,vi. vt. 摆动; 犹豫,张红岩：list054
7485,palpable,"adj. 可触知的, 明显的",张红岩：list054
7486,patent,adj. 显而易见的; n.专利权(证书),张红岩：list054
7487,pellucid,"adj. 清晰的,清澈的",张红岩：list054
7488,pendulum,"n. 摆,钟摆",张红岩：list054
7489,peril,n. 危险,张红岩：list054
7490,perilous,"adj. 危险的,冒险的",张红岩：list054
7491,perish,"vi. vt. 死,暴卒",张红岩：list054
7492,perspicuous,adj. 明晰的;明了的,张红岩：list054
7493,pliant,adj. 易受影响的;易弯的,张红岩：list054
7494,portentous,"adj. 凶兆的,有危险的",张红岩：list054
7495,precarious,"adj. 不稳的,危险的",张红岩：list054
7496,pronounced,"adj.(观点等)强硬的, 明显的",张红岩：list054
7497,reverse,"n. 反面; 相反; vi. vt. 倒车, 反转",张红岩：list054
7498,rickety,"adj.不牢靠的,摇摇欲坠的",张红岩：list054
7499,ritual,"n. 仪式,例行习惯;",张红岩：list054
7500,seemly,"adj. 得体的,适宜的",张红岩：list054
7501,slaughter,vt.n.屠杀，屠宰,张红岩：list054
7502,solemn,adj.严肃的，庄严的；黑色的,张红岩：list054
7503,solemnity,"n.庄严,肃穆",张红岩：list054
7504,striking,"adj.引人注目的,明显的",张红岩：list054
7505,stupor,"n.昏迷,不醒人事",张红岩：list054
7506,subsistence,n.生存，生计；存在,张红岩：list054
7507,succumb,vi.屈从; 因...死亡,张红岩：list054
7508,survive,vi. vt. 幸存,张红岩：list054
7509,suspect,vt. 怀疑;n. 嫌疑犯;adj. 可疑的,张红岩：list054
7510,sway,"vi. vt. 摇动,摇摆;影响使改变;n. 摇动",张红岩：list054
7511,symbiosis,n.共生(关系),张红岩：list054
7512,teeter,"vt. 摇摆, 踌躇",张红岩：list054
7513,threat,n.威胁，恐吓；凶兆,张红岩：list054
7514,timely,"adj.适时的,及时的",张红岩：list054
7515,tombstone,"n. 墓碑,墓石",张红岩：list054
7516,tortuous,adj.弯弯曲曲的,张红岩：list054
7517,totter,vi.摇摇欲坠; 步伐蹒跚,张红岩：list054
7518,trance,"n.恍惚,昏睡状态",张红岩：list054
7519,trapeze,"n. 空中吊杠,高秋千",张红岩：list054
7520,unbecoming,"adj. 不合适的,不合礼节的",张红岩：list054
7521,unbend,vt. 弄直;放松,张红岩：list054
7522,unfounded,adj.无事实根据的,张红岩：list054
7523,univocal,adj. 意思明确的,张红岩：list054
7524,unjustified,"adj. 未被证明为正当的,无法解释的",张红岩：list054
7525,unsubstantiated,"adj. 未经证实的,无事实根据的",张红岩：list054
7526,unwarranted,adj. 没有根据的,张红岩：list054
7527,unwonted,"adj.不寻常的, 不习惯的",张红岩：list054
7528,vacillate,"vi.游移不定,踌躇",张红岩：list054
7529,vertigo,n.眩晕,张红岩：list054
7530,viability,n. 发育能力,张红岩：list054
7531,warp,"vi. vt. n.翘起,弯曲",张红岩：list054
7532,waver,"vi.摇摆,犹豫",张红岩：list054
7533,wobble,"vi. vt.动摇,犹豫",张红岩：list054
7534,zigzag,"n.&adj.之字形(的),vi. vt.弯弯曲曲地进行",张红岩：list054
7535,cemetery,"n.坟墓,公墓",张红岩：list054
7536,condign,adj.罪有应得的;适宜的,张红岩：list054
7537,dangle,"vi. vt. 悬挂,吊胃口",张红岩：list054
7538,defunct,adj. 死亡的; 过时的,张红岩：list054
7539,demure,"adj. 严肃的,矜持的",张红岩：list054
7540,gallows,"n. 绞刑架,绞台",张红岩：list054
7541,habitable,adj. 可居住的,张红岩：list054
7542,hobble,vi. vt. 蹒跚; 跛行,张红岩：list054
7543,imperil,"vt. 使陷于危险中,危及",张红岩：list054
7544,inexpedient,"adj. 不适当的,不明智的",张红岩：list054
7545,juncture,"n.关键时刻,危机关头;结合处",张红岩：list054
7546,lynch,vt. 私刑处死,张红岩：list054
7547,mistimed,adj. 不合时机的,张红岩：list054
7548,necropolis,"n.大墓地, 公墓",张红岩：list054
7549,parlous,"adj. 靠不住的,危险的",张红岩：list054
7550,pendent,"adj. 吊着的,悬挂的",张红岩：list054
7551,roundabout,"adj. 绕远道的,转弯抹角的",张红岩：list054
7552,scare,n.vi. vt. 惊吓，受惊，威吓,张红岩：list054
7553,serpentine,"adj.似蛇般绕曲的,蜿蜒的",张红岩：list054
7554,slay,"vt.杀,残杀",张红岩：list054
7555,stagger,"vi. vt.蹒跚,摇晃",张红岩：list054
7556,subsist,vi. vt.生存下去,张红岩：list054
7557,topsy-turvy,"adj.颠倒的,混乱的",张红岩：list054
7558,wont,"n.习惯,习俗",张红岩：list054
7559,behoove,vi. vt.理应，有义务,张红岩：list054
7560,identifiable,adj.可以确认的,张红岩：list054
7561,befitting,"adj.相宜的, 适当的, 合式的",张红岩：list054
7562,seasonable,"adj.合时令的,及时的,合时宜的",张红岩：list054
7563,inopportune,adj.不凑巧的，不合时宜的,张红岩：list054
7564,hereafter,"adv.今后,从此以后",张红岩：list054
7565,mortician,n.丧事承办人，殡葬业者,张红岩：list054
7566,obsequy,n.葬礼,张红岩：list054
7567,postmortem,"adj.死后的;验尸的,事后的,n.验尸,v.(对…)验尸,adv.在死后",张红岩：list054
7568,knell,"v.（铃，尤指丧钟）敲响,n.钟声；（尤指）丧钟声",张红岩：list054
7569,morgue,"n.太平间,停尸房",张红岩：list054
7570,undertaker,n.丧事承办人，殡仪员,张红岩：list054
7571,bereavement,"n.亲人丧亡；丧失亲人,丧亲之痛",张红岩：list054
7572,cremate,vt.火化；火葬,张红岩：list054
7573,incinerator,n.(废物的)焚化炉,张红岩：list054
7574,backfire,"vi.(内燃机等)发生逆火, 发生回火；(枪炮)向后爆发,发生意外, 产生事与愿违的后果,n.(内燃机等)逆火, 回火；(枪炮)向后爆发",张红岩：list054
7575,opportunistic,"adj.机会主义的,机会主义者的",张红岩：list054
7576,serendipitous,adj.偶然发现的,张红岩：list054
7577,cow,n.母牛（尤指奶牛）vt.恐吓， 吓,张红岩：list054
7578,uncharitable,adj.（行为，态度）不仁慈的；无情的；苛刻的,张红岩：list054
7579,hesitance,n.（行动或说话）犹豫,张红岩：list054
7580,doddering,"adj.震颤的,蹒跚的",张红岩：list054
7581,uniform,n.制服,张红岩：list055
7582,square,n.广场,张红岩：list055
7583,revise,vt.修订；校订；修正,张红岩：list055
7584,adapt,vt.使适应；改编,张红岩：list055
7585,unity,n.团结；联合；统一,张红岩：list055
7586,modify,vt.更改；修改；修饰,张红岩：list055
7587,diversity,n.差异;多样性,张红岩：list055
7588,harmony,n.协调;和谐;和睦,张红岩：list055
7589,square,adj.平方的；正方形的,张红岩：list055
7590,accommodate,vt.适应;供给膳宿,张红岩：list055
7591,uniform,n.制服 adj.一律的;无变化的,张红岩：list055
7592,aberrant,adj. 越轨的;异常的,张红岩：list055
7593,accommodate,"vi. vt. 与...一致,提供食宿",张红岩：list055
7594,adaptable,"adj.有适应能力的; 可改编的,可改写的",张红岩：list055
7595,alter,"vt. 改变, 更改",张红岩：list055
7596,amble,"n.   vi. 漫步,缓行",张红岩：list055
7597,ameliorate,"vi. 改善,改良",张红岩：list055
7598,amend,vi. vt.修正；通常向更好的方向变化,张红岩：list055
7599,anomaly,"n.异常,反常",张红岩：list055
7600,apparition,"n. 幽灵,神奇的现象",张红岩：list055
7601,asymmetric,adj.不对称的,张红岩：list055
7602,bizarre,"adj. 奇异的,古怪的",张红岩：list055
7603,budge,vi. vt.移动一点; 妥协,张红岩：list055
7604,caprice,n. 突如其来的念头,张红岩：list055
7605,capricious,"adj. 变化无常的,任性的",张红岩：list055
7606,causal,"adj.原因的,因果关系的",张红岩：list055
7607,coincide,vt. 巧合; 一致,张红岩：list055
7608,commensurate,adj. 同样大小的; 相称的,张红岩：list055
7609,commonplace,adj. 平常的,张红岩：list055
7610,congruent,"adj. 全等的,一致的",张红岩：list055
7611,congruous,"adj. 一致的,符合的; [数]全等的",张红岩：list055
7612,consistent,adj. 前后一致的,张红岩：list055
7613,convertible,adj. 可转换的; n. 敞篷车,张红岩：list055
7614,correspondent,adj. 符合的; n. 记者,张红岩：list055
7615,counterbalance,vt. 起平衡作用,张红岩：list055
7616,dawdle,"vt. 闲荡,虚度",张红岩：list055
7617,demotic,"adj.民众的,通俗的",张红岩：list055
7618,deteriorate,"vt. (使)变坏,恶化",张红岩：list055
7619,deviant,adj. 越出常规的,张红岩：list055
7620,distract,vt.分心，转移；使发狂，困扰,张红岩：list055
7621,diversity,"adj. 多样,千变万化",张红岩：list055
7622,eccentric,"adj. 古怪的,反常的 n.古怪的人",张红岩：list055
7623,emend,"vt. 订正, 校订",张红岩：list055
7624,enhance,vt.提高，增加，改善,张红岩：list055
7625,equilibrium,n. 平衡,张红岩：list055
7626,erratic,adj. 反复无常的; 古怪的,张红岩：list055
7627,exotic,adj.珍奇的; 来自异国的,张红岩：list055
7628,farce,n.闹剧; 荒谬胡闹,张红岩：list055
7629,feckless,adj.无目标无计划的,张红岩：list055
7630,fickle,"adj.(爱情或友谊上)易变的,不坚定的",张红岩：list055
7631,fluctuate,vi. vt.波动; 变化,张红岩：list055
7632,flux,n.不断的变动，动荡不定,张红岩：list055
7633,fulfil,"vt. 履行;满足,符合",张红岩：list055
7634,fusion,n. 融合; 聚变,张红岩：list055
7635,garble,"vt. 曲解,窜改",张红岩：list055
7636,garbled,adj. 引起误解的,张红岩：list055
7637,harmony,"n.相符,一致;协调,匀称",张红岩：list055
7638,heterodox,"adj. 异端的,非正统的",张红岩：list055
7639,homogenize,"vi. vt. 使均匀,使一致",张红岩：list055
7640,inconstancy,n. (指人)反复无常,张红岩：list055
7641,incontrovertible,adj. 无可辩驳的,张红岩：list055
7642,indubitable,adj. 不容置疑的,张红岩：list055
7643,innovative,adj. 革新的,张红岩：list055
7644,interchangeable,adj. 可互换的,张红岩：list055
7645,jibe,"vi. vt. 与...一致,符合",张红岩：list055
7646,justifiable,"adj. 有理由的,无可非议的",张红岩：list055
7647,justification,n.正当理由，好的（正义的）原因；辨护,张红岩：list055
7648,justify,vt. 表明...是正当的,张红岩：list055
7649,malleable,adj. 可塑的; 易改变的,张红岩：list055
7650,mercurial,adj. 善变的; 活泼的,张红岩：list055
7651,merit,vi. vt. 值得,张红岩：list055
7652,merited,adj.该得的，理所当然的,张红岩：list055
7653,metamorphose,vi. vt. 变形,张红岩：list055
7654,miracle,n.奇事，奇迹,张红岩：list055
7655,misshapen,"adj. 畸形的,奇形怪状的",张红岩：list055
7656,modify,"vi. vt. 修改,变更",张红岩：list055
7657,novelty,n. 新奇(的事物),张红岩：list055
7658,offbeat,不规则的，不平常的,张红岩：list055
7659,orthodox,adj. 正统的,张红岩：list055
7660,outlandish,adj.古怪的,张红岩：list055
7661,peripatetic,adj. 巡游的,张红岩：list055
7662,preternatural,adj. 异常的; 超自然的,张红岩：list055
7663,prodigy,n. 奇事; 奇才,张红岩：list055
7664,promenade,"n. vi. vt. 散步,开车兜风",张红岩：list055
7665,protean,"adj. 变化多端的,多变的",张红岩：list055
7666,ramble,n. 漫步; vi. vt. 漫步,张红岩：list055
7667,recant,"vi. vt.改变,放弃(以前的信仰)",张红岩：list055
7668,recast,vt. 重铸;更换演员,张红岩：list055
7669,reclaim,vi. vt. 纠正; 开垦(土地),张红岩：list055
7670,rectify,"vt. 改正,调正; 提纯",张红岩：list055
7671,redirect,vt. 改寄(信件),张红岩：list055
7672,redress,"n. 改正,修正",张红岩：list055
7673,respiration,n. 呼吸,张红岩：list055
7674,revise,"n.  vt. 改变,修正",张红岩：list055
7675,saunter,"vi. n. 闲逛,漫步",张红岩：list055
7676,singularity,"n.独特,奇异",张红岩：list055
7677,stroll,"vt.漫步,闲逛",张红岩：list055
7678,symmetry,n.对称; 均衡,张红岩：list055
7679,tally,"vi. vt.(使)一致,符合",张红岩：list055
7680,tamper,"vi. vt.损害,窜改",张红岩：list055
7681,tenable,"adj.站得住脚的,无懈可击的",张红岩：list055
7682,transition,"n.过渡时期,转变",张红岩：list055
7683,transmute,"vi. vt.变化,变作",张红岩：list055
7684,unearthly,adj. 奇异的,张红岩：list055
7685,unexceptionable,adj. 无可非议的,张红岩：list055
7686,unification,"n. 统一,一致",张红岩：list055
7687,unimpeachable,"adj.无可指摘的,无可置疑的",张红岩：list055
7688,upheaval,"n.动乱,大变动",张红岩：list055
7689,vagary,"n.奇想,异想天开",张红岩：list055
7690,vagrancy,"n. 游荡,流浪",张红岩：list055
7691,veer,"vt.转向,改变(话题等)",张红岩：list055
7692,volatile,adj.反复无常的; 挥发性的,张红岩：list055
7693,warranted,adj. 保证的; 凭正当理由的,张红岩：list055
7694,whim,"n.多变,怪念头",张红岩：list055
7695,whimsical,"adj.古怪的,异想天开的",张红岩：list055
7696,whimsy,"n.古怪,异想天开",张红岩：list055
7697,asphyxia,n. 窒息,张红岩：list055
7698,chasten,"vt. (通过惩罚而使坏习惯等)改正,磨练",张红岩：list055
7699,checkered,adj.盛衰无常的,张红岩：list055
7700,counterpoise,n.vt. 平均，平衡,张红岩：list055
7701,dalliance,"n. 戏弄,调情",张红岩：list055
7702,freak,"n. 怪物,奇事; adj. 反常的",张红岩：list055
7703,grotesque,"adj. (外形或方式)怪诞的,古怪的",张红岩：list055
7704,kaleidoscopic,adj. 千变万化的,张红岩：list055
7705,loiter,vt. 游荡; 走走停停,张红岩：list055
7706,miraculous,adj. 奇迹的，不可思议的,张红岩：list055
7707,optimization,n. 最优化,张红岩：list055
7708,reshuffle,vt. 再洗牌; 改组,张红岩：list055
7709,strangulation,"n.扼杀,勒死",张红岩：list055
7710,throttle,vi. vt.掐脖子; 扼杀; n.节流阀,张红岩：list055
7711,undisputable,adj. 无可争辩的，毫无疑问的,张红岩：list055
7712,unexceptional,adj. 非例外的，普通的，平凡的,张红岩：list055
7713,vegetate,vt.像植物般生活; 无所事事,张红岩：list055
7714,vicissitude,n. 变化，变迁，荣枯，盛衰,张红岩：list055
7715,traipse,漫步，闲逛,张红岩：list055
7716,asymmetrical,adj.不匀称的；不对等的,张红岩：list055
7717,congruence,"n.适合,一致,叠合,全等,相合性",张红岩：list055
7718,plausibility,"n.似乎有理,善辩",张红岩：list055
7719,mend,"vt.vi.修理, 修补,改[纠]正; 改善[进]n.修补过的地方",张红岩：list055
7720,interchange,"vt.(指两人等)交换事物, 互换,vt.vi.(使某事物)交替变化",张红岩：list055
7721,boring,adj.无聊的：令人生厌的,张红岩：list056
7722,tragedy,n.悲剧,张红岩：list056
7723,waste,v.浪费；滥用,张红岩：list056
7724,disaster,n.灾难；灾祸,张红岩：list056
7725,unfold,vt.打开；显露；阐明,张红岩：list056
7726,restore,vt.修复；重建,张红岩：list056
7727,rejuvenate,vt.& vi.（使）恢复（青春）活力；（使）返老还童,张红岩：list056
7728,stretch,vt.& vi.展开；伸展；延伸,张红岩：list056
7729,adjust,vt.调整；调节 vi.适应,张红岩：list056
7730,impair,vt.损害；削弱,张红岩：list056
7731,tragedy,n.悲剧,张红岩：list056
7732,catastrophe,n.大灾难,张红岩：list056
7733,appropriate,adj.适当的；合适的,张红岩：list056
7734,decline,vi.拒绝;变小;变少;变弱 vt.拒绝;使下降 n.下降;衰退;斜坡,张红岩：list056
7735,embarrass,vt.使尴尬;使为难,张红岩：list056
7736,addition,n. 增加的人或事物;加(法),张红岩：list056
7737,abash,"vt.使害羞,使尴尬",张红岩：list056
7738,abate,"vi. vt.减轻,减少",张红岩：list056
7739,abbreviate,缩短;缩写,张红岩：list056
7740,abrade,"vt.磨损,磨小",张红岩：list056
7741,abridge,vt.删减; 缩短,张红岩：list056
7742,accrete,"vt. 添加生长, 连生",张红岩：list056
7743,adjust,"vi. vt. 整顿,整理; 适应",张红岩：list056
7744,apocalyptic,adj. 预示世界末日的;启示的,张红岩：list056
7745,appropriate,vt. 拨款; 盗用; adj. 恰当的,张红岩：list056
7746,attenuate,vi. vt.变薄vi. vt.变薄,张红岩：list056
7747,bale,"n.大包裹; 灾祸,不幸",张红岩：list056
7748,blunt,adj. 钝的; 直率的,张红岩：list056
7749,bribe,vi. vt.贿赂,张红岩：list056
7750,calamity,"n. 大灾祸,不幸之事",张红岩：list056
7751,cataclysm,"n.剧变,灾难(常指大洪水或地震)",张红岩：list056
7752,catastrophe,n. 突如其来的大灾难,张红岩：list056
7753,clip,"n.夹子,别针;vi. vt.修剪",张红岩：list056
7754,commute,"vt.交换, 坐公共交通车上下班",张红岩：list056
7755,contraband,"n. 违禁品,走私货",张红岩：list056
7756,coy,"adj. 腼腆的,忸怩的",张红岩：list056
7757,curtail,"vt. 削减,缩短",张红岩：list056
7758,deaden,vi. vt. 减低某物的力量或强度,张红岩：list056
7759,debilitate,vt. 使衰弱,张红岩：list056
7760,decline,"vi. vt. 拒绝; 变弱,变小 n.消减",张红岩：list056
7761,deduct,"vt. 减去,扣除",张红岩：list056
7762,desultory,"adj.不连贯的,散漫的",张红岩：list056
7763,discursive,"adj.散漫的,无层次的",张红岩：list056
7764,divert,vi. vt. 使某事物转向,张红岩：list056
7765,drab,adj. 枯黄色的; 无聊的,张红岩：list056
7766,dreary,"adj. 沉闷的,乏味的",张红岩：list056
7767,drone,vi. vt. 嗡嗡地响; n.单调的低音,张红岩：list056
7768,dwindle,vi. vt. 变小,张红岩：list056
7769,effete,adj. 无生产力的; 虚弱的,张红岩：list056
7770,elongate,"vt. 延长, 伸长",张红岩：list056
7771,embarrass,vt. 使某人忸怩,张红岩：list056
7772,embezzlement,n.贪污，盗用,张红岩：list056
7773,enfeeble,vt. 使衰弱,张红岩：list056
7774,ennui,"n. 倦怠,无聊",张红岩：list056
7775,extend,"vt. 延展,延长; 舒展(肢体)",张红岩：list056
7776,feeble,adj.虚弱的,张红岩：list056
7777,flagging,"adj. 下垂的, 衰弱的",张红岩：list056
7778,grind,n. 枯燥乏味的工作,张红岩：list056
7779,humdrum,"adj. 单调的,乏味的",张红岩：list056
7780,impair,"vt. 损害,使弱",张红岩：list056
7781,implode,"vi. 内爆,剧减",张红岩：list056
7782,infelicitous,"adj. 不幸的, 不妥当的",张红岩：list056
7783,infelicity,n. 不幸; 不恰当,张红岩：list056
7784,infirm,adj. 虚弱的,张红岩：list056
7785,insipid,"adj. 乏味的,枯燥的",张红岩：list056
7786,lackadaisical,adj. 无精打采的; 无兴趣的,张红岩：list056
7787,languish,vi. 衰弱; 变得消瘦,张红岩：list056
7788,loosen,"vi. vt. 变松,松开",张红岩：list056
7789,maelstrom,n. 大漩涡; 大混乱,张红岩：list056
7790,malaise,"n. 不适,不舒服",张红岩：list056
7791,mash,vt. 捣成糊状,张红岩：list056
7792,minimize,vt. 把...减至最低数量或程度,张红岩：list056
7793,monotonous,"adj. 单调的,无聊的",张红岩：list056
7794,monotony,"n. 单调, 千篇一律",张红岩：list056
7795,muffle,"vt. 使声音降低,裹住",张红岩：list056
7796,muted,"adj. (声音)减弱的,变得轻柔的",张红岩：list056
7797,nag,"vt. 唠叨,烦扰",张红岩：list056
7798,nucleate,vt. 使成核;adj. 有核的,张红岩：list056
7799,pare,vt. 削;修剪,张红岩：list056
7800,plagiarism,"n. 剽窃,抄袭",张红岩：list056
7801,plagiarize,vt.剽窃，抄袭,张红岩：list056
7802,prolong,"vt. 延长,拉长",张红岩：list056
7803,prosaic,"adj. 单调的,无趣的",张红岩：list056
7804,protract,"vt.延长,拖长",张红岩：list056
7805,purloin,vt.偷窃,张红岩：list056
7806,rehabilitate,"vt. 修复,恢复(职业等)",张红岩：list056
7807,reinstate,vt. 恢复(原职),张红岩：list056
7808,rejuvenate,vi. vt. 使返老还童,张红岩：list056
7809,relent,vi. 动怜悯心; 减弱,张红岩：list056
7810,relenting,"adj. 减弱的,怜悯的",张红岩：list056
7811,renovate,"vt. 修复,装修,翻新",张红岩：list056
7812,repatriate,vi. vt.(自异国)遣返,张红岩：list056
7813,resilient,"adj. 有弹性的; 能恢复活力的,适应力强的",张红岩：list056
7814,restore,vt.使回复，恢复；修复，修补,张红岩：list056
7815,restored,adj. 恢复的,张红岩：list056
7816,retard,"vi. vt. 妨碍,推迟",张红岩：list056
7817,revert,"vi. vt. 恢复,回复到;重新考虑",张红岩：list056
7818,shoplift,vt. 在商店里偷窃货品,张红岩：list056
7819,shunt,"vi. vt.使(火车)转到另一轨道,转移方向",张红岩：list056
7820,snip,vt.剪断,张红岩：list056
7821,snitch,vt. 告密; 偷,张红岩：list056
7822,solitude,n.孤独,张红岩：list056
7823,somber,adj. 忧郁的; 阴暗的,张红岩：list056
7824,stodgy,adj. 乏味的,张红岩：list056
7825,stratify,vt.(使)层化,张红岩：list056
7826,stretch,vi. vt. 变长;伸展,张红岩：list056
7827,subdue,vt.征服; 压制; 减轻,张红岩：list056
7828,subtract,"vi. vt. 减去,减掉",张红岩：list056
7829,swerve,vi. vt.突然改变方向,张红岩：list056
7830,taper,n.细蜡烛; (长形物体的)逐渐变窄,张红岩：list056
7831,tedium,n.单调乏味,张红岩：list056
